Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00     1421     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      0.05     0.00     1420     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::allocator<std::pair<int const, pxr::gfx::SpriteSheet> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00      0.05     0.00     1420     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::allocator<std::pair<int const, pxr::gfx::SpriteSheet> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.05     0.00     1420     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.05     0.00     1420     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::allocator<std::pair<int const, pxr::gfx::SpriteSheet> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end()
  0.00      0.05     0.00     1419     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.05     0.00     1418     0.00     0.00  std::__shared_ptr<pxr::AppState, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.05     0.00     1418     0.00     0.00  std::__shared_ptr_access<pxr::AppState, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      0.05     0.00     1418     0.00     0.00  std::__shared_ptr_access<pxr::AppState, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.05     0.00     1418     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, pxr::gfx::SpriteSheet>&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, pxr::gfx::SpriteSheet>&>(std::pair<int const, pxr::gfx::SpriteSheet>&) const
